name,type
designation,str
ra,float64
dec,float64
sigra,float64
sigdec,float64
sigradec,float64
glon,float64
glat,float64
elon,float64
elat,float64
wx,float64
wy,float64
cntr,Int64
source_id,str
coadd_id,str
src,Int64
w1mpro,float64
w1sigmpro,float64
w1snr,float64
w1rchi2,float64
w2mpro,float64
w2sigmpro,float64
w2snr,float64
w2rchi2,float64
w3mpro,float64
w3sigmpro,float64
w3snr,float64
w3rchi2,float64
w4mpro,float64
w4sigmpro,float64
w4snr,float64
w4rchi2,float64
rchi2,float64
nb,Int64
na,Int64
w1sat,float64
w2sat,float64
w3sat,float64
w4sat,float64
satnum,Int64
ra_pm,float64
dec_pm,float64
sigra_pm,float64
sigdec_pm,float64
sigradec_pm,float64
pmra,float64
sigpmra,float64
pmdec,float64
sigpmdec,float64
w1rchi2_pm,float64
w2rchi2_pm,float64
w3rchi2_pm,float64
w4rchi2_pm,float64
rchi2_pm,float64
pmcode,str
cc_flags,str
rel,str
ext_flg,Int64
var_flg,str
ph_qual,str
det_bit,Int64
moon_lev,Int64
w1nm,float64
w1m,float64
w2nm,float64
w2m,float64
w3nm,float64
w3m,float64
w4nm,float64
w4m,float64
w1cov,float64
w2cov,float64
w3cov,float64
w4cov,float64
w1cc_map,Int64
w1cc_map_str,str
w2cc_map,Int64
w2cc_map_str,str
w3cc_map,Int64
w3cc_map_str,str
w4cc_map,Int64
w4cc_map_str,str
use_src,Int64
best_use_cntr,Int64
ngrp,float64
w1flux,float64
w1sigflux,float64
w1sky,float64
w1sigsk,float64
w1conf,float64
w2flux,float64
w2sigflux,float64
w2sky,float64
w2sigsk,float64
w2conf,float64
w3flux,float64
w3sigflux,float64
w3sky,float64
w3sigsk,float64
w3conf,float64
w4flux,float64
w4sigflux,float64
w4sky,float64
w4sigsk,float64
w4conf,float64
w1mag,float64
w1sigm,float64
w1flg,float64
w1mcor,float64
w2mag,float64
w2sigm,float64
w2flg,float64
w2mcor,float64
w3mag,float64
w3sigm,float64
w3flg,float64
w3mcor,float64
w4mag,float64
w4sigm,float64
w4flg,float64
w4mcor,float64
w1mag_1,float64
w1sigm_1,float64
w1flg_1,float64
w2mag_1,float64
w2sigm_1,float64
w2flg_1,float64
w3mag_1,float64
w3sigm_1,float64
w3flg_1,float64
w4mag_1,float64
w4sigm_1,float64
w4flg_1,float64
w1mag_2,float64
w1sigm_2,float64
w1flg_2,float64
w2mag_2,float64
w2sigm_2,float64
w2flg_2,float64
w3mag_2,float64
w3sigm_2,float64
w3flg_2,float64
w4mag_2,float64
w4sigm_2,float64
w4flg_2,float64
w1mag_3,float64
w1sigm_3,float64
w1flg_3,float64
w2mag_3,float64
w2sigm_3,float64
w2flg_3,float64
w3mag_3,float64
w3sigm_3,float64
w3flg_3,float64
w4mag_3,float64
w4sigm_3,float64
w4flg_3,float64
w1mag_4,float64
w1sigm_4,float64
w1flg_4,float64
w2mag_4,float64
w2sigm_4,float64
w2flg_4,float64
w3mag_4,float64
w3sigm_4,float64
w3flg_4,float64
w4mag_4,float64
w4sigm_4,float64
w4flg_4,float64
w1mag_5,float64
w1sigm_5,float64
w1flg_5,float64
w2mag_5,float64
w2sigm_5,float64
w2flg_5,float64
w3mag_5,float64
w3sigm_5,float64
w3flg_5,float64
w4mag_5,float64
w4sigm_5,float64
w4flg_5,float64
w1mag_6,float64
w1sigm_6,float64
w1flg_6,float64
w2mag_6,float64
w2sigm_6,float64
w2flg_6,float64
w3mag_6,float64
w3sigm_6,float64
w3flg_6,float64
w4mag_6,float64
w4sigm_6,float64
w4flg_6,float64
w1mag_7,float64
w1sigm_7,float64
w1flg_7,float64
w2mag_7,float64
w2sigm_7,float64
w2flg_7,float64
w3mag_7,float64
w3sigm_7,float64
w3flg_7,float64
w4mag_7,float64
w4sigm_7,float64
w4flg_7,float64
w1mag_8,float64
w1sigm_8,float64
w1flg_8,float64
w2mag_8,float64
w2sigm_8,float64
w2flg_8,float64
w3mag_8,float64
w3sigm_8,float64
w3flg_8,float64
w4mag_8,float64
w4sigm_8,float64
w4flg_8,float64
w1magp,float64
w1sigp1,float64
w1sigp2,float64
w1k,Int64
w1ndf,float64
w1mlq,float64
w1mjdmin,float64
w1mjdmax,float64
w1mjdmean,float64
w2magp,float64
w2sigp1,float64
w2sigp2,float64
w2k,Int64
w2ndf,float64
w2mlq,float64
w2mjdmin,float64
w2mjdmax,float64
w2mjdmean,float64
w3magp,float64
w3sigp1,float64
w3sigp2,float64
w3k,Int64
w3ndf,float64
w3mlq,float64
w3mjdmin,float64
w3mjdmax,float64
w3mjdmean,float64
w4magp,float64
w4sigp1,float64
w4sigp2,float64
w4k,Int64
w4ndf,float64
w4mlq,float64
w4mjdmin,float64
w4mjdmax,float64
w4mjdmean,float64
rho12,float64
rho23,float64
rho34,float64
q12,float64
q23,float64
q34,float64
xscprox,float64
w1rsemi,float64
w1ba,float64
w1pa,float64
w1gmag,float64
w1gerr,float64
w1gflg,float64
w2rsemi,float64
w2ba,float64
w2pa,float64
w2gmag,float64
w2gerr,float64
w2gflg,float64
w3rsemi,float64
w3ba,float64
w3pa,float64
w3gmag,float64
w3gerr,float64
w3gflg,float64
w4rsemi,float64
w4ba,float64
w4pa,float64
w4gmag,float64
w4gerr,float64
w4gflg,float64
tmass_key,float64
r_2mass,float64
pa_2mass,Int64
n_2mass,float64
j_m_2mass,float64
j_msig_2mass,float64
h_m_2mass,float64
h_msig_2mass,float64
k_m_2mass,float64
k_msig_2mass,float64
x,float64
y,float64
z,Int64
spt_ind,Int64
htm20,float64